,,B-expertise,,B-moral,I-moral,,B-city,,,,,,,,,,,,O,O,O,O,O,O,,,,,,,,
دکتر,عمومی,خلوت,در,بلوار,وکیل,آباد,,,,,,,,,,,,,,,,,,,,,,,,,,
,B-expertise,,,,,,,,,,,,,,,,,,,O,O,O,O,O,O,,,,,,,
دکتر,متخصص,پوست,با,رضایت,زیاد,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,O,B-expertise,O,B-user-score,I-user-score,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,
یک,روانشناس,خوش,اخلاق,با,ویزیت,آنلاین,,,,,,,,,,,,,,,,,,,,,,,,,,
,B-expertise,B-moral,I-moral,,,B-online-or-in-person,,,,,,,,,,,,,,,,,,,,,,,,,,
یک,متخصص,گوش,و,حلق,و,بینی,که,تو,مطبش,معطل,نشم,,,,,,,,,,,,,,,,,,,,,
,,B-expertise,I-expertise,I-expertise,I-expertise,I-expertise,,,,B-amount-of-delay,I-amount-of-delay,,,,,,,,,,,,,,,,,,,,,
متخصص,بیماری,های,داخلی,که,کار,بلد,باشه,و,بیمه,دی,قبول,کنه,,,,,,,,,,,,,,,,,,,,
,B-expertise,I-expertise,I-expertise,,B-user-score,I-user-score,,,,B-insurance,,,,,,,,,,,,,,,,,,,,,,
میخوام,بینیم,رو,طبیعی,عمل,کنم,چه,دکتری,در,تهران,یا,شیراز,برای,این,کار,پیشنهاد,میدی,,,,,,,,,,,,,,,,
,B-problem,,I-problem,I-problem,,,,,B-city,,B-city,,,,,,,,,,,,,,,,,,,,,
میخوام,رژیم,غذاییم,رو,سالم,کنم,لطفا,ی,دکتر,تغذیه,خوب,پیشنهاد,بده,که,میزان,رضایتمندی,بیماراش,بالا,باشه,,,,,,,,,,,,,,
,B-problem,I-problem,,,,,,,B-expertise,B-user-score,,,,,B-user-score,,I-user-score,,,,,,,,,,,,,,,
دندونم,درد,میکنه,دنبال,یه,دندون,پزشک,خوب,توی,کرج,میگردم,,,,,,,,,,,,,,,,,,,,,,
B-problem,I-problem,,,,B-expertise,I-expertise,B-user-score,,B-city,,,,,,,,,,,,,,,,,,,,,,,
سرم,درد,میکنه,و,سر,گیجه,دارم,میخوام,پیش,یه,دکتر,خوب,با,هزینه,ی,کم,توی,تبریز,برم,,,,,,,,,,,,,,
B-problem,I-problem,,,B-problem,I-problem,,,,,,B-user-score,,,,,,B-city,,,,,,,,,,,,,,,
میخوام,معاینه,چشم,بشم,یه,چشم,پزشک,ماهر,و,معروف,در,ساری,معرفی,کن,,,,,,,,,,,,,,,,,,,
,B-problem,I-problem,,,B-expertise,I-expertise,B-user-score,,,,B-city,,,,,,,,,,,,,,,,,,,,,
دختر,من,بیماری,روده,تحریک,پذیر,داره,میتونی,یک,دکتر,خیلی,خوب,بهم,معرفی,کنی,که,درمانش,کنه,,,,,,,,,,,,,,,
,,,B-problem,I-problem,I-problem,,,,,B-user-score,I-user-score,,,,,,,,,,,,,,,,,,,,,
میخوام,برای,ارتودنسی,یک,جا,با,هزینه,کم,بهم,پیشنهاد,بدی,توی,یزد,,,,,,,,,,,,,,,,,,,,
,,B-problem,,,,,,,,,,B-city,,,,,,,,,,,,,,,,,,,,
بهم,ماهر,ترین,دکتر,برای,عمل,بینی,رو,معرفی,کن,هرجای,ایران,باشه,اوکیه,,,,,,,,,,,,,,,,,,,
,B-user-score,I-user-score,,,B-problem,I-problem,,,,,,,,,,,,,,,,,,,,,,,,,,
برای,بلفاروپلاستی,کجا,برم,خوبه,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B-problem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
من,ساکن,اصفهانم,شنوایی,یکی,از,گوشام,کم,شده,لطفا,یک,دکتر,خوب,خانم,بهم,معرفی,کن,در,محدوده,امام,خمینی,یا,یک,جایی,در,اطرافش,باشه,خیلی,خوبه,,,,
,,B-city,B-problem,,,I-problem,I-problem,,,,,B-user-score,B-gender,,,,,,B-neighborhood,I-neighborhood,,,,,,,I-user-score,B-user-score,,,,
من,دچار,بی,خوابی,شدم,راهنماییم,کن,که,به,چه,دکتری,در,اصفهان,مراجعه,کنم,,,,,,,,,,,,,,,,,,
,,B-problem,I-problem,,,,,,,,,B-city,,,,,,,,,,,,,,,,,,,,
بی,اشتها,شدم,و,حالت,تهوع,دارم,میشه,بگی,پیش,چه,دکتری,برم,در,محدوده,ولیعصر,تهران,,,,,,,,,,,,,,,,
B-problem,I-problem,,,B-problem,I-problem,,,,,,,,,,B-neighborhood,B-city,,,,,,,,,,,,,,,,
یه,دکتر,آقا,با,سابقه,و,خوب,در,زمینه,رینوپلاستی,غیر,از,دکتر,ناصری,صدر,در,بندر,عباس,بهم,پیشنهاد,بده,,,,,,,,,,,,
,,B-gender,,B-experience,,B-user-score,,,B-problem,,,,,,,B-city,I-city,,,,,,,,,,,,,,,
اختلال,دو,قطبی,دارم,و,میخوام,به,یه,روان,پزشک,با,قیمت,مناسب,توی,استان,مازندران,مراجعه,کنم,,,,,,,,,,,,,,,
B-problem,I-problem,I-problem,,,,,,B-expertise,I-expertise,,,,,,,,,,,,,,,,,,,,,,,
گوشم,وز,وز,میکنه,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-problem,I-problem,I-problem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
یک,دکتر,زنان,و,زایمان,خوب,در,شیروان,بگو,حتما,حتما,خانوم,باشه,,,,,,,,,,,,,,,,,,,,
,,B-expertise,I-problem,I-expertise,B-user-score,,B-city,,,,B-gender,,,,,,,,,,,,,,,,,,,,,
من,آزمایش,خون,دادم,و,میخوام,برم,که,دکتر,نتایج,آزمایشم,رو,بررسی,کنه,یه,دکتر,در,محدوده,خیابان,دانشجو,سبزوار,بگو,که,هزینه,کمی,دریافت,کنه,و,این,کار,رو,انجام,بده
,B-problem,I-problem,,,,,,,,B-problem,,I-problem,,,,,,,B-neighborhood,B-city,,,,,,,,,,,,
من,فیبروم,دارم,لطفا,یک,دکتر,خانوم,در,نیشابور,بهم,معرفی,کن,,,,,,,,,,,,,,,,,,,,,
,B-problem,,,,,B-gender,,B-city,,,,,,,,,,,,,,,,,,,,,,,,
میخوام,دندونامو,لمینت,کنم,یه,دکتر,که,کارش,طبیعی,باشه,و,دندونام,خیلی,سفید,و,ضایع,نشه,معرفی,کن,ترجیحا,شهرکرد,,,,,,,,,,,,
,B-problem,I-problem,,,,,,O,,,,,,,,,,,,B-city,,,,,,,,,,,,
یک,ارتوپد,آقا,در,ساری,معرفی,کن,,,,,,,,,,,,,,,,,,,,,,,,,,
,B-expertise,B-gender,,B-city,,,,,,,,,,,,,,,,,,,,,,,,,,,,
حس,میکنم,آپاندیسم,ترکیده,به,چه,دکتری,مراجعه,کنم,میخوام,که,داخل,قوچان,باشه,,,,,,,,,,,,,,,,,,,
,,B-problem,I-problem,,,,,,,,,B-city,,,,,,,,,,,,,,,,,,,,
